web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,Détails,Etat,Adresse,Prix,image_lien-src
"1739206974-1","https://www.expat-dakar.com/machines-a-laver?page=78","Réfrigérateur intelligent Hisense RC-68WC4SB de 680 litres
                                Neuf
                                                                                    Fass,
                                                                                Dakar
                                    
                                        Aujourd'hui, 13:53
                                    
                    1 515 000 F Cfa
                        
                        781302424","https://www.expat-dakar.com/annonce/refrigerateur-intelligent-hisense-rc-68wc4sb-de-680-litres-6278629","Réfrigérateur intelligent Hisense RC-68WC4SB de 680 litres","Neuf","Fass","1 515 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/cc7f553d2753ab4657a2025eab78ba53/-/horizon-files-prod/ed/picture/qq42ex5z/edaa934e0bffd218e7c4cf00ef3aff79a8093a86.jpg"
"1739206979-2","https://www.expat-dakar.com/machines-a-laver?page=78","Réfrigérateur Hisense RD-34DC4SB 250L
                                Neuf
                                                                                    Fass,
                                                                                Dakar
                                    
                                        Aujourd'hui, 13:56
                                    
                    248 000 F Cfa
                        
                        781302424","https://www.expat-dakar.com/annonce/refrigerateur-hisense-rd-34dc4sb-250l-6278645","Réfrigérateur Hisense RD-34DC4SB 250L","Neuf","Fass","248 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/13c69975ee5c50aa34d33cb6e8c2fb9a/-/horizon-files-prod/ed/picture/q78wz40n/70e76f0ac1e288912e57c810e2a066231f93affa.png"
"1739206985-3","https://www.expat-dakar.com/machines-a-laver?page=78","Mini-réfrigérateur à porte simple Arctic King
                                Neuf
                                                                                    Parcelles Assainies,
                                                                                Dakar
                                    
                                        Aujourd'hui, 14:00
                                    
                    95 000 F Cfa
                        
                        772391010
                    
                        773041633
                    
                        338357221","https://www.expat-dakar.com/annonce/mini-refrigerateur-a-porte-simple-arctic-king-6244075","Mini-réfrigérateur à porte simple Arctic King","Neuf","Parcelles Assainies","95 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f7a232d83deea4c7f1042bc9d4a5c4dc/-/horizon-files-prod/ed/picture/q44nw6e2/fe4899e9912b02e40add0d5aee0299912dfbecba.jpg"
"1739206992-4","https://www.expat-dakar.com/machines-a-laver?page=78","Réfrigérateur Side By Side ROCH  660 Litres Silver
                                Neuf
                                                                                    Fass,
                                                                                Dakar
                                    
                                        Aujourd'hui, 14:32
                                    
                    645 000 F Cfa
                        
                        781302424","https://www.expat-dakar.com/annonce/refrigerateur-side-by-side-roch-660-litres-silver-6278680","Réfrigérateur Side By Side ROCH  660 Litres Silver","Neuf","Fass","645 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e7673d94c91032b23df2a257f1f675e9/-/horizon-files-prod/ed/picture/qkr8en2v/c77e33a162522f4141287f7a0907072625534ace.jpg"
"1739207001-5","https://www.expat-dakar.com/machines-a-laver?page=78","Réfrigérateur Roch 245 Litres Silver
                                Neuf
                                                                                    Fass,
                                                                                Dakar
                                    
                                        Aujourd'hui, 14:35
                                    
                    335 000 F Cfa
                        
                        781302424","https://www.expat-dakar.com/annonce/refrigerateur-roch-245-litres-silver-6278688","Réfrigérateur Roch 245 Litres Silver","Neuf","Fass","335 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e90f98934d45b567ccb831e717b0dc46/-/horizon-files-prod/ed/picture/q6xd98zg/c530747afbfb1b0ac1532222a67ec1cd1737881a.jpg"
"1739207007-6","https://www.expat-dakar.com/machines-a-laver?page=78","Réfrigérateur Roch Bar 85 Litres RFR-120S
                                Neuf
                                                                                    Fass,
                                                                                Dakar
                                    
                                        Aujourd'hui, 14:38
                                    
                    86 000 F Cfa
                        
                        781302424","https://www.expat-dakar.com/annonce/refrigerateur-roch-bar-85-litres-rfr-120s-6278690","Réfrigérateur Roch Bar 85 Litres RFR-120S","Neuf","Fass","86 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/aefe3cf594cfcd013f84413404b0a7ff/-/horizon-files-prod/ed/picture/qv4w6vqm/27296d58dd6102221f7560ade402cb57e7f7806c.jpg"
"1739207013-7","https://www.expat-dakar.com/machines-a-laver?page=78","Chauffe-eau finx 30 litres très bon
                                Neuf
                                                                                    Keur Massar,
                                                                                Dakar
                                    
                                        Hier, 06:45
                                    
                                            Vendeur vérifié
                                        
                    65 000 F Cfa
                        
                        775267261","https://www.expat-dakar.com/annonce/chauffe-eau-finx-30-litres-tres-bon-6277509","Chauffe-eau finx 30 litres très bon","Neuf","Keur Massar","65 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/962d0648951f61461f9658cc71ce68f1/-/horizon-files-prod/ed/picture/q44nvq4r/f99cffa34736005dda0350ccc519b0876d815e4b.jpg"
"1739207018-8","https://www.expat-dakar.com/machines-a-laver?page=78","CUISINER 5 FEUX FERRE 90/60CM INOX
                                Neuf
                                                                                    Keur Massar,
                                                                                Dakar
                                    
                                        Aujourd'hui, 10:44
                                    
                                            Vendeur vérifié
                                        
            285 000 F Cfa
        
                    320 000 F Cfa
                        
            Économisez 10.9%
        
                        775267261","https://www.expat-dakar.com/annonce/cuisiner-5-feux-ferre-9060cm-inox-6278346","CUISINER 5 FEUX FERRE 90/60CM INOX","Neuf","Keur Massar","320 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9422a5746a91195122358bc2d0c8b6e8/-/horizon-files-prod/ed/picture/qv4w606k/3578c6c339809fe86893798057b9340cde0a770f.jpg"
"1739207024-9","https://www.expat-dakar.com/machines-a-laver?page=78","FRIGO COMBINÉ SHARP SJ DC 320S 4 TIROIRS
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        Aujourd'hui, 16:06
                                    
                                            Vendeur vérifié
                                        
            265 000 F Cfa
        
                    275 000 F Cfa
                        
            Économisez 3.6%
        
                        775267261","https://www.expat-dakar.com/annonce/frigo-combine-sharp-sj-dc-320s-4-tiroirs-4720643","FRIGO COMBINÉ SHARP SJ DC 320S 4 TIROIRS","Neuf","Plateau","275 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/3be1c7c7aa10ba23568522d089d4e752/-/horizon-files-prod/ed/picture/qz7drjk/40979464a164cfebb02dc425b3045c89319258f8.jpg"
"1739207037-10","https://www.expat-dakar.com/machines-a-laver?page=78","CUISINIÈRE ASTECH 4 FEUX INOX 50/50
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        Aujourd'hui, 16:08
                                    
                                            Vendeur vérifié
                                        
            80 000 F Cfa
        
                    90 000 F Cfa
                        
            Économisez 11.1%
        
                        775267261","https://www.expat-dakar.com/annonce/cuisiniere-astech-4-feux-inox-5050-2745374","CUISINIÈRE ASTECH 4 FEUX INOX 50/50","Neuf","Plateau","90 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4c9c8adccdad7eb7632d7aff195a7fa7/-/horizon-files-prod/ed/picture/q8d86m7/dcd7e48251b0d034ff35c2d451a6870c8cbef4ce.jpg"
